lastUpdated,code,level,created,name,id,offlineLevels,code,lastUpdated,id,level,created,name,shortName,description,contactPerson,path,openingDate,email,address,url,phoneNumber,closedDate,geometry,comment,code,created,lastUpdated,name,id,shortName,symbol,color,geometry
2023-12-29T13:20:15.612,,,,,,,,,,6,2023-12-29T13:20:15.592,Agashyitsi,Agashyitsi,,,"/NLsvt0iBEyq/I7LUEXlue90/zeO6GcBuYRF/YMgV4MZ7irv/wL0SU6No3m7/e2Zryn8UMV3",2023-01-01T00:00:00.000,,,,,,,,,,,,e2Zryn8UMV3,,,,
2023-12-29T14:39:03.318,,,,,,,,,,6,2023-12-29T14:39:03.220,Agasongero,Agasongero,,,"/NLsvt0iBEyq/qtB5YKGpetQ/UN7SFbqzMwN/VZhANIp1V2J/xuAzoMeeH9n/Yfsvu0EdMn2",2023-01-01T00:00:00.000,,,,,,,,,,,,Yfsvu0EdMn2,,,,
2023-12-29T13:33:24.154,,,,,,,,,,6,2023-12-29T13:33:24.125,Agasugi,Agasugi,,,"/NLsvt0iBEyq/d3sGVyQqwe5/n468PYJ6g8u/IjOSgM5xTje/x4nd4evDxiK/vVb8qF6hF7c",2023-01-01T00:00:00.000,,,,,,,,,,,,vVb8qF6hF7c,,,,
2023-12-29T13:27:44.890,,,,,,,,,,6,2023-12-29T13:27:44.874,Agataba,Agataba,,,"/NLsvt0iBEyq/d3sGVyQqwe5/gfLUf85yY51/bJ1UYLFPCox/DPkc1oMcKjg/uqVLCJIpDid",2023-01-01T00:00:00.000,,,,,,,,,,,,uqVLCJIpDid,,,,
2023-12-29T14:41:01.259,,,,,,,,,,6,2023-12-29T14:41:01.208,Agatagara,Agatagara,,,"/NLsvt0iBEyq/qtB5YKGpetQ/eyq3Niz72Ls/Z33YKCdOe5D/nRkeJSUoYTT/HHUW1fGoPy6",2023-01-01T00:00:00.000,,,,,,,,,,,,HHUW1fGoPy6,,,,
2023-12-29T14:47:03.962,,,,,,,,,,6,2023-12-29T14:47:03.888,Agatangaza,Agatangaza,,,"/NLsvt0iBEyq/qtB5YKGpetQ/opnk6RKjDVK/pAXGNlI00ou/ucembBvKkYt/z3cWcdReocL",2023-01-01T00:00:00.000,,,,,,,,,,,,z3cWcdReocL,,,,
2023-12-29T13:16:58.872,,,,,,,,,,6,2023-12-29T13:16:58.856,Agataramo,Agataramo,,,"/NLsvt0iBEyq/I7LUEXlue90/zeO6GcBuYRF/whyDU0uhyQl/kfnNBnqYNCm/MyTm65jXDHS",2023-01-01T00:00:00.000,,,,,,,,,,,,MyTm65jXDHS,,,,
2023-12-29T13:15:45.486,,,,,,,,,,5,2023-12-29T13:15:45.460,Agatare,Agatare,,,"/NLsvt0iBEyq/I7LUEXlue90/S19LIxV9TlT/SaWlvv2UKGa/AdJuk9KzfVT",2023-01-01T00:00:00.000,,,,,,,,,,,,AdJuk9KzfVT,,,,
2023-12-29T13:15:46.071,,,,,,,,,,6,2023-12-29T13:15:46.051,Agatare,Agatare,,,"/NLsvt0iBEyq/I7LUEXlue90/S19LIxV9TlT/SaWlvv2UKGa/AdJuk9KzfVT/o8nzXsGd0kK",2023-01-01T00:00:00.000,,,,,,,,,,,,o8nzXsGd0kK,,,,
2023-12-29T13:30:00.484,,,,,,,,,,6,2023-12-29T13:30:00.460,Agatega,Agatega,,,"/NLsvt0iBEyq/d3sGVyQqwe5/gfLUf85yY51/SgsZ68wsVO9/FvAdlvriwX9/KTRQUowocli",2023-01-01T00:00:00.000,,,,,,,,,,,,KTRQUowocli,,,,
